# Summary of experimental CRISPR data annotated with enhancer-gene predictions. Each row represents an element-gene pair tested in a CRISPR experiment. 
#
# Column descriptions:
#
# chrPerturbationTarget, startPerturbationTarget, endPerturbationTarget: hg19 coordinates of the tested element
# chrTSS, starts, endTSS: hg19 coordinates of the tested gene
# GeneSymbol: Tested gene symbol
# CellType: Cell type in which the CRISPR experiment was performed
# IncludeInModel: Boolean indicating whether to include this element-gene pair in evaluation of predictors
# Reason: Reason the element-gene pair is not included in evaluation of predictors
# Reference: Study in which the CRISPR experiment was conducted
# RNAReadoutMethod, PerturbMethod: Experimental methods used to perturb enhancer and read out effects on RNA
# EffectSize: Fraction change in gene expression upon CRISPR perturbation
# Padj: pvalue for non-zero effect size adjusted for multiple hypothesis test correction
# Significant: Boolean indicating if padj is statistically significant
# Regulated: Boolean indicating if the element-gene pair is significant and the effect size is negative (ie gene expression decreases upon perturbation of the enhancer)
# PowerAtEffectSize.0.25: Power to detect 25% changes in gene expression
# Distance: genomic distance between the element-gene pair
# Remaining Columns represent the quantitative score of each of the predictors. See methods for details
#
chrPerturbationTarget	startPerturbationTarget	endPerturbationTarget	chrTSS	startTSS	endTSS	GeneSymbol	CellType	IncludeInModel	Reason	Reference	RNAReadoutMethod	PerturbMethod	EffectSize	padj	Significant	Regulated	PowerAtEffectSize.0.25	distance	closestGene.EachGeneIsRegulatedByClosestEnhancer	closestEnhancer.EachEnhRegulatesClosestGene	ABC.ABC.Score	Granja2019.CorrelationCancer	Granja2019.CorrelationHealthy	Granja2019.PvalCancer	Granja2019.PvalHealthy	Sheffield2013.cor	Sheffield2013.pval	Fishilevich2017.GeneHancer.value	ENCODE2012.ENCODE2012.score	Andersson2014.Andersson2014.score	JEME.jeme_score	TargetFinder.TargetFinder_prediction	EnhancerAtlas2.EAGLE_score	Rao2014Loop.Rao2014.Loop	Rao2014TAD.Rao2014.TAD	Roadmap.ConfidenceScore	PCHiC.Javierre.score
chr12	54730945	54731525	chr12	54694821	54694821	NFE2	K562	FALSE	PromoterElement	Fulco2019	FlowFISH Screen	KRAB-dCas9	0.00626717	0.998265820297	FALSE	FALSE	0.96860140471	36414	0	0	0.012272	-0.0835560058388425	0.452393275567293	0.405967991527253	0.000356162991556637	0.4922941	0.988	0	-1	-1	0	0	0	0	1	0	19.1937971529337
chr12	54730945	54731525	chr12	54813050	54813050	ITGA5	K562	FALSE	PromoterElement	Fulco2019	FlowFISH Screen	KRAB-dCas9	-0.008274618	0.991842183927	FALSE	FALSE	0.999999999676	81815	0	0	0.008302	-1	-1	1	1	-1	1	0	-1	-1	0	0	0	0	1	0	0
chr12	54731905	54732525	chr12	54813050	54813050	ITGA5	K562	TRUE	NA	Fulco2019	FlowFISH Screen	KRAB-dCas9	0.028523781	0.991842183927	FALSE	FALSE	0.994512454266	80835	0	0	0.001898	-1	-1	1	1	-1	1	0	-1	-1	0	0	0	0	1	0	0
chr12	54745785	54746285	chr12	54674473	54674473	HNRNPA1	K562	TRUE	NA	Fulco2019	FlowFISH Screen	KRAB-dCas9	-0.03575936	0.873271418836	FALSE	FALSE	0.999999865986	71562	0	0	0.003247	-0.0289200175132846	0.476533937094234	0.764407682935249	0.000168230013917308	-1	1	0	-1	-1	0	0	0	0	1	0	0
chr12	54745785	54746285	chr12	54694821	54694821	NFE2	K562	TRUE	NA	Fulco2019	FlowFISH Screen	KRAB-dCas9	-0.02474211	0.892737161892	FALSE	FALSE	0.999999164919	51214	0	0	0.004204	-1	-1	1	1	-1	1	0	-1	-1	0	0	0	0	1	0	0
chr12	54745785	54746285	chr12	54813050	54813050	ITGA5	K562	TRUE	NA	Fulco2019	FlowFISH Screen	KRAB-dCas9	-0.027931962	0.991842183927	FALSE	FALSE	1	67015	0	0	0.003571	-1	-1	1	1	-1	1	0	-1	-1	0	0	0	0	1	0	0
chr12	54747224	54747805	chr12	54674473	54674473	HNRNPA1	K562	FALSE	PromoterElement	Fulco2019	FlowFISH Screen	KRAB-dCas9	0.00767403	0.967613756798	FALSE	FALSE	0.99752791532	73041.5	0	0	0.002509	-1	-1	1	1	-1	1	0	-1	-1	0	0	0	0	1	0	0
chr12	54747224	54747805	chr12	54694821	54694821	NFE2	K562	FALSE	PromoterElement	Fulco2019	FlowFISH Screen	KRAB-dCas9	0.07427515	0.6783105073029999	FALSE	FALSE	0.964714935505	52693.5	0	0	0.00325	-1	-1	1	1	-1	1	0	-1	-1	0	0	0	0	1	0	0
chr12	54747224	54747805	chr12	54813050	54813050	ITGA5	K562	FALSE	PromoterElement	Fulco2019	FlowFISH Screen	KRAB-dCas9	0.039881373	0.991842183927	FALSE	FALSE	1	65535.5	0	0	0.00276	-1	-1	1	1	-1	1	0	-1	-1	0	0	0	0	1	0	0
chr12	54751865	54752385	chr12	54674473	54674473	HNRNPA1	K562	TRUE	NA	Fulco2019	FlowFISH Screen	KRAB-dCas9	-0.00963702	0.967613756798	FALSE	FALSE	0.99678958628	77652	0	0	0.006188	-1	-1	1	1	0.4310484	0.996	37.41	-1	-1	0	0	0	0	1	0	8.97645280439968
chr12	54751865	54752385	chr12	54694821	54694821	NFE2	K562	TRUE	NA	Fulco2019	FlowFISH Screen	KRAB-dCas9	-0.07226034	0.651912802562	FALSE	FALSE	0.999751404922	57304	0	0	0.0075	-1	-1	1	1	-1	1	0	-1	-1	0	0	0	0	1	0	0
chr12	54751865	54752385	chr12	54718873	54718873	COPZ1	K562	TRUE	NA	Fulco2019	FlowFISH Screen	KRAB-dCas9	0.01227252	0.9161563406540001	FALSE	FALSE	0.999997470643	33252	0	0	0.009404	-1	-1	1	1	-1	1	22.62	-1	-1	0	0	0	0	1	0	0
chr12	54751865	54752385	chr12	54813050	54813050	ITGA5	K562	TRUE	NA	Fulco2019	FlowFISH Screen	KRAB-dCas9	-0.019712476	0.991842183927	FALSE	FALSE	1	60925	0	0	0.006643	-1	-1	1	1	-0.4704797	0.005	22.1	-1	-1	0	0	0	0	1	0	0
chr12	54752805	54754045	chr12	54674473	54674473	HNRNPA1	K562	TRUE	NA	Fulco2019	FlowFISH Screen	KRAB-dCas9	-0.05125353	0.787377660233	FALSE	FALSE	0.999999999949	78952	0	0	0.017614	-1	-1	1	1	0.3772518	0.993	37.41	-1	-1	0	0	0	0	1	0	8.97645280439968
chr12	54752805	54754045	chr12	54694821	54694821	NFE2	K562	TRUE	NA	Fulco2019	FlowFISH Screen	KRAB-dCas9	-0.0373592	0.832942048488	FALSE	FALSE	0.999999991615	58604	0	0	0.02135	-1	-1	1	1	0.4756524	0.985	0	-1	-1	0	0	0	0	1	0	0
chr12	54752805	54754045	chr12	54718873	54718873	COPZ1	K562	TRUE	NA	Fulco2019	FlowFISH Screen	KRAB-dCas9	-0.02055591	0.762170297344	FALSE	FALSE	1	34552	0	0	0.026772	-1	-1	1	1	-1	1	22.62	-1	-1	0	0	0	0	1	3.9	0
chr12	54752805	54754045	chr12	54813050	54813050	ITGA5	K562	TRUE	NA	Fulco2019	FlowFISH Screen	KRAB-dCas9	0.011534667	0.991842183927	FALSE	FALSE	1	59625	0	0	0.018908	-1	-1	1	1	0.5719138	0.998	22.1	-1	0.302	0	0	0	0	1	0	0
chr12	54754545	54755045	chr12	54674473	54674473	HNRNPA1	K562	TRUE	NA	Fulco2019	FlowFISH Screen	KRAB-dCas9	0.00084263	0.998348135766	FALSE	FALSE	0.997737819559	80322	0	0	0.001963	-1	-1	1	1	-1	1	37.41	-1	-1	0	0	0	0	1	0	8.97645280439968
chr12	54754545	54755045	chr12	54694821	54694821	NFE2	K562	TRUE	NA	Fulco2019	FlowFISH Screen	KRAB-dCas9	0.04756292	0.859766075508	FALSE	FALSE	0.997319400272	59974	0	0	0.002379	0.116360575160771	0.394448105105521	0.265667481077358	0.00187082733610284	-1	1	0	-1	-1	0	0	0	0	1	0	0
chr12	54754545	54755045	chr12	54718873	54718873	COPZ1	K562	TRUE	NA	Fulco2019	FlowFISH Screen	KRAB-dCas9	0.01726393	0.879147233175	FALSE	FALSE	0.999999999857	35922	0	0	0.002983	-1	-1	1	1	-1	1	22.62	-1	-1	0	0	0	0	1	3.417	0
chr12	54754545	54755045	chr12	54813050	54813050	ITGA5	K562	TRUE	NA	Fulco2019	FlowFISH Screen	KRAB-dCas9	0.005700932	0.991842183927	FALSE	FALSE	1	58255	0	0	0.002106	-1	-1	1	1	-1	1	22.1	-1	0.298	0	0	0	0	1	0	0
chr12	54758020	54758520	chr12	54674473	54674473	HNRNPA1	K562	FALSE	PromoterElement	Fulco2019	FlowFISH Screen	KRAB-dCas9	-0.01696998	0.967613756798	FALSE	FALSE	0.993065904332	83797	0	0	0.000913	-1	-1	1	1	0.3865124	0.993	0	-1	-1	0	0	0	0	1	0	19.0095967569166
chr12	54758020	54758520	chr12	54694821	54694821	NFE2	K562	FALSE	PromoterElement	Fulco2019	FlowFISH Screen	KRAB-dCas9	0.05305519	0.859766075508	FALSE	FALSE	0.99264718247	63449	0	0	0.001185	0.0731058198918563	0.497579824283367	0.488647930307831	8.50238653721555e-05	-1	1	0	-1	-1	0	0	0	0	1	0	24.2460429995633
chr12	54758020	54758520	chr12	54718873	54718873	COPZ1	K562	FALSE	PromoterElement	Fulco2019	FlowFISH Screen	KRAB-dCas9	0.0342428	0.753598877342	FALSE	FALSE	0.999999823037	39397	0	0	0.001103	-1	-1	1	1	-1	1	0	-1	-1	0	0	0	0	1	0	24.2460429995633
chr12	54758020	54758520	chr12	54813050	54813050	ITGA5	K562	FALSE	PromoterElement	Fulco2019	FlowFISH Screen	KRAB-dCas9	-0.00274169	0.991842183927	FALSE	FALSE	0.999999998464	54780	0	0	0.000949	0.092982597299014	0.524078519629216	0.375749957400666	3.46682934599084e-05	-0.4054437	0.018	0	-1	-1	0	0	0	0	1	0	0
chr12	54761265	54761785	chr12	54674473	54674473	HNRNPA1	K562	TRUE	NA	Fulco2019	FlowFISH Screen	KRAB-dCas9	-0.08023551	0.787377660233	FALSE	FALSE	0.991642673954	87052	0	0	0.004673	-1	-1	1	1	-1	1	7.16	-1	-1	0	0	0	0	1	0	19.0095967569166
chr12	54761265	54761785	chr12	54694821	54694821	NFE2	K562	TRUE	NA	Fulco2019	FlowFISH Screen	KRAB-dCas9	0.07828876	0.6783105073029999	FALSE	FALSE	0.992825447419	66704	0	0	0.00627	0.364422263425525	0.0493808620818626	0.00042285694858524	0.713513527735996	0.6761272	0.999	0	-1	-1	0	0	0	0	1	3.215	24.2460429995633
chr12	54761265	54761785	chr12	54718873	54718873	COPZ1	K562	TRUE	NA	Fulco2019	FlowFISH Screen	KRAB-dCas9	-0.08903879	0.0505608617229	FALSE	FALSE	0.999999999953	42652	0	0	0.006573	-1	-1	1	1	-1	1	0	-1	-1	0	0	0	0	1	2.715	24.2460429995633
chr12	54761265	54761785	chr12	54813050	54813050	ITGA5	K562	TRUE	NA	Fulco2019	FlowFISH Screen	KRAB-dCas9	0.092075095	0.629148059186	FALSE	FALSE	0.966259548825	51525	0	0	0.006343	0.425277866352286	0.240389890397498	3.8352470856634e-05	0.0593716156835247	-1	1	15.43	-1	-1	0	0	0	0	1	0	0
chr12	54761905	54762405	chr12	54674473	54674473	HNRNPA1	K562	TRUE	NA	Fulco2019	FlowFISH Screen	KRAB-dCas9	-0.01168109	0.967613756798	FALSE	FALSE	0.908298997019	87682	0	0	0.004673	-1	-1	1	1	-1	1	7.16	-1	-1	0	0	0	0	1	0	19.0095967569166
chr12	54761905	54762405	chr12	54694821	54694821	NFE2	K562	TRUE	NA	Fulco2019	FlowFISH Screen	KRAB-dCas9	-0.11287122	0.7366905867229999	FALSE	FALSE	0.80409652505	67334	0	0	0.00627	0.364422263425525	0.0493808620818626	0.00042285694858524	0.713513527735996	0.6358475	0.999	0	-1	-1	0	0	0	0	1	0	24.2460429995633
chr12	54761905	54762405	chr12	54718873	54718873	COPZ1	K562	TRUE	NA	Fulco2019	FlowFISH Screen	KRAB-dCas9	-0.06143408	0.730863868925	FALSE	FALSE	0.999343901581	43282	0	0	0.006573	-1	-1	1	1	-1	1	0	-1	-1	0	0	0	0	1	0	24.2460429995633
chr12	54761905	54762405	chr12	54813050	54813050	ITGA5	K562	TRUE	NA	Fulco2019	FlowFISH Screen	KRAB-dCas9	-0.03153285	0.991842183927	FALSE	FALSE	0.999998982384	50895	0	0	0.006343	0.425277866352286	0.240389890397498	3.8352470856634e-05	0.0593716156835247	-1	1	15.43	-1	-1	0	0	0	0	1	0	0
chr12	54762425	54763385	chr12	54674473	54674473	HNRNPA1	K562	TRUE	NA	Fulco2019	FlowFISH Screen	KRAB-dCas9	-0.03935525	0.81973110245	FALSE	FALSE	0.999999999355	88432	0	0	0.012385	-1	-1	1	1	-1	1	7.16	-1	-1	0	0	0	0	1	0	19.0095967569166
chr12	54762425	54763385	chr12	54694821	54694821	NFE2	K562	TRUE	NA	Fulco2019	FlowFISH Screen	KRAB-dCas9	-0.01236003	0.9603227112989999	FALSE	FALSE	0.999999982679	68084	0	0	0.016618	0.367343228789086	-0.0118662201167321	0.000379712292607842	0.90472194487084	0.5913344	0.999	0	-1	-1	0	0	0	0	1	0	24.2460429995633
chr12	54762425	54763385	chr12	54718873	54718873	COPZ1	K562	TRUE	NA	Fulco2019	FlowFISH Screen	KRAB-dCas9	-0.02639181	0.614540875773	FALSE	FALSE	1	44032	0	0	0.017422	-1	-1	1	1	-1	1	0	-1	-1	0	0	0	0	1	0	24.2460429995633
chr12	54762425	54763385	chr12	54813050	54813050	ITGA5	K562	TRUE	NA	Fulco2019	FlowFISH Screen	KRAB-dCas9	0.033859812	0.943864635415	FALSE	FALSE	1	50145	0	0	0.016809	-1	-1	1	1	-1	1	15.43	-1	-1	0	0	0	0	1	0	0
chr12	54763945	54764465	chr12	54674473	54674473	HNRNPA1	K562	TRUE	NA	Fulco2019	FlowFISH Screen	KRAB-dCas9	0.04999594	0.81973110245	FALSE	FALSE	0.999735627448	89732	0	0	0.00145	-1	-1	1	1	-1	1	7.16	-1	-1	0	0	0	0	1	0	19.0095967569166
chr12	54763945	54764465	chr12	54694821	54694821	NFE2	K562	TRUE	NA	Fulco2019	FlowFISH Screen	KRAB-dCas9	-0.02186162	0.905911734903	FALSE	FALSE	0.999972976943	69384	0	0	0.001946	0.359956504332318	0.290868388091146	0.000497750396455581	0.0222148455415107	-1	1	0	-1	-1	0	0	0	0	1	0	24.2460429995633
chr12	54763945	54764465	chr12	54718873	54718873	COPZ1	K562	TRUE	NA	Fulco2019	FlowFISH Screen	KRAB-dCas9	0.01376373	0.879147233175	FALSE	FALSE	1	45332	0	0	0.00204	-1	-1	1	1	-1	1	0	-1	-1	0	0	0	0	1	0	24.2460429995633
chr12	54763945	54764465	chr12	54813050	54813050	ITGA5	K562	TRUE	NA	Fulco2019	FlowFISH Screen	KRAB-dCas9	0.000403374	0.991842183927	FALSE	FALSE	1	48845	0	0	0.001968	0.3841058294454	0.13628166411615	0.000201757067131357	0.290102243036839	-1	1	15.43	-1	-1	0	0	0	0	1	0	0
chr12	54770505	54771045	chr12	54674473	54674473	HNRNPA1	K562	TRUE	NA	Fulco2019	FlowFISH Screen	KRAB-dCas9	-0.0497875	0.850506043356	FALSE	FALSE	0.999808895248	96302	0	0	0.000902	-1	-1	1	1	-1	1	5.9	-1	-1	0	0	0	0	1	0	0
chr12	54770505	54771045	chr12	54694821	54694821	NFE2	K562	TRUE	NA	Fulco2019	FlowFISH Screen	KRAB-dCas9	0.06682883	0.6783105073029999	FALSE	FALSE	0.999950166144	75954	0	0	0.001041	-1	-1	1	1	0.4496181	0.979	0	-1	-1	0	0	0	0	1	0	0
chr12	54770505	54771045	chr12	54718873	54718873	COPZ1	K562	TRUE	NA	Fulco2019	FlowFISH Screen	KRAB-dCas9	-0.01134213	0.9133386901520001	FALSE	FALSE	1	51902	0	0	0.001056	-1	-1	1	1	-1	1	12.77	-1	-1	0	0	0	0	1	0	0
chr12	54770505	54771045	chr12	54813050	54813050	ITGA5	K562	TRUE	NA	Fulco2019	FlowFISH Screen	KRAB-dCas9	0.015549103	0.991842183927	FALSE	FALSE	1	42275	0	0	0.002051	-1	-1	1	1	-1	1	12.61	-1	-1	0	0	0	0	1	0	0
chr12	54772805	54773305	chr12	54674473	54674473	HNRNPA1	K562	TRUE	NA	Fulco2019	FlowFISH Screen	KRAB-dCas9	-0.03286979	0.873271418836	FALSE	FALSE	0.999999895793	98582	0	0	0.000791	-1	-1	1	1	0.3075104	0.978	0	-1	-1	0	0	0	0	1	0	0
chr12	54772805	54773305	chr12	54694821	54694821	NFE2	K562	TRUE	NA	Fulco2019	FlowFISH Screen	KRAB-dCas9	-0.03403324	0.859766075508	FALSE	FALSE	0.999999559991	78234	0	0	0.000913	-1	-1	1	1	-1	1	0	-1	-1	0	0	0	0	1	0	0
chr12	54772805	54773305	chr12	54718873	54718873	COPZ1	K562	TRUE	NA	Fulco2019	FlowFISH Screen	KRAB-dCas9	-0.04129142	0.480712345215	FALSE	FALSE	1	54182	0	0	0.000926	-1	-1	1	1	0.2875203	0.993	19.15	-1	-1	0	0	0	0	1	0	0
chr12	54772805	54773305	chr12	54813050	54813050	ITGA5	K562	TRUE	NA	Fulco2019	FlowFISH Screen	KRAB-dCas9	-0.049036237	0.8596432333509999	FALSE	FALSE	1	39995	0	0	0.001797	-1	-1	1	1	-1	1	17.77	-1	-1	0	0	0	0	1	0	0
chr12	54773325	54773865	chr12	54674473	54674473	HNRNPA1	K562	TRUE	NA	Fulco2019	FlowFISH Screen	KRAB-dCas9	-0.05431018	0.787377660233	FALSE	FALSE	0.999999982032	99122	0	0	0.001672	-1	-1	1	1	0.3075104	0.978	0	-1	-1	0	0	0	0	1	0	0
chr12	54773325	54773865	chr12	54694821	54694821	NFE2	K562	TRUE	NA	Fulco2019	FlowFISH Screen	KRAB-dCas9	0.0020278	0.998265820297	FALSE	FALSE	0.99998019137	78774	0	0	0.001929	-1	-1	1	1	-1	1	0	-1	-1	0	0	0	0	1	0	0
chr12	54773325	54773865	chr12	54718873	54718873	COPZ1	K562	TRUE	NA	Fulco2019	FlowFISH Screen	KRAB-dCas9	-0.02476265	0.747023495855	FALSE	FALSE	1	54722	0	0	0.001957	-1	-1	1	1	0.2875203	0.993	19.15	-1	-1	0	0	0	0	1	0	0
chr12	54773325	54773865	chr12	54813050	54813050	ITGA5	K562	TRUE	NA	Fulco2019	FlowFISH Screen	KRAB-dCas9	0.003992757	0.991842183927	FALSE	FALSE	1	39455	0	0	0.003798	-1	-1	1	1	-1	1	17.77	-1	-1	0	0	0	0	1	0	0
chr12	54776885	54777385	chr12	54674473	54674473	HNRNPA1	K562	TRUE	NA	Fulco2019	FlowFISH Screen	KRAB-dCas9	-0.07586808	0.79014685937	FALSE	FALSE	0.997418143197	102662	0	0	0.001808	-1	-1	1	1	-1	1	0	-1	-1	0	0	0	0	1	0	5.98626758949747
chr12	54776885	54777385	chr12	54694821	54694821	NFE2	K562	TRUE	NA	Fulco2019	FlowFISH Screen	KRAB-dCas9	0.08474132	0.6465917168249999	FALSE	FALSE	0.999048836478	82314	0	0	0.001646	-1	-1	1	1	-1	1	0	-1	-1	0	0	0	0	1	0	0
chr12	54776885	54777385	chr12	54718873	54718873	COPZ1	K562	TRUE	NA	Fulco2019	FlowFISH Screen	KRAB-dCas9	-0.04315264	0.614540875773	FALSE	FALSE	1	58262	0	0	0.001883	-1	-1	1	1	-1	1	27.32	-1	-1	0	0	0	0	1	2.781	0
chr12	54776885	54777385	chr12	54813050	54813050	ITGA5	K562	TRUE	NA	Fulco2019	FlowFISH Screen	KRAB-dCas9	0.02499919	0.991842183927	FALSE	FALSE	1	35915	0	0	0.005005	-0.127459186138287	0.62581815471255	0.208409807453464	7.45503834223746e-07	0.5059445	0.997	28.24	-1	-1	0	0	0	0	1	0	0
chr12	54778305	54778805	chr12	54674473	54674473	HNRNPA1	K562	FALSE	PromoterElement	Fulco2019	FlowFISH Screen	KRAB-dCas9	-0.03428838	0.873271418836	FALSE	FALSE	0.999999438982	104082	0	0	0.001297	-1	-1	1	1	0.4201783	0.995	0	-1	-1	0	0	0	0	1	0	5.98626758949747
chr12	54778305	54778805	chr12	54694821	54694821	NFE2	K562	FALSE	PromoterElement	Fulco2019	FlowFISH Screen	KRAB-dCas9	-0.04806095	0.751806768609	FALSE	FALSE	0.999999637758	83734	0	0	0.001181	-0.0129841036526997	0.382535342232039	0.88492588415361	0.00256712263345656	0.5395967	0.993	0	-1	-1	0	0	0	0	1	0	0
chr12	54778305	54778805	chr12	54718873	54718873	COPZ1	K562	FALSE	PromoterElement	Fulco2019	FlowFISH Screen	KRAB-dCas9	-0.0320682	0.625400898968	FALSE	FALSE	1	59682	0	0	0.001351	-1	-1	1	1	-1	1	27.32	-1	-1	0	0	0	0	1	0	0
chr12	54778305	54778805	chr12	54813050	54813050	ITGA5	K562	FALSE	PromoterElement	Fulco2019	FlowFISH Screen	KRAB-dCas9	0.007475976	0.991842183927	FALSE	FALSE	1	34495	0	0	0.00359	-0.0235681004729743	0.411298676673017	0.80440318438556	0.00117884903131868	-0.4165651	0.016	28.24	-1	-1	0	0	0	0	1	0	0
chr12	54782505	54783045	chr12	54674473	54674473	HNRNPA1	K562	TRUE	NA	Fulco2019	FlowFISH Screen	KRAB-dCas9	0.01982036	0.967613756798	FALSE	FALSE	0.99999751055	108302	0	0	0.001395	-1	-1	1	1	-1	1	0	-1	-1	0	0	0	0	1	0	6.62291479106601
chr12	54782505	54783045	chr12	54694821	54694821	NFE2	K562	TRUE	NA	Fulco2019	FlowFISH Screen	KRAB-dCas9	0.01053458	0.998265820297	FALSE	FALSE	0.999995946158	87954	0	0	0.001316	-1	-1	1	1	-1	1	0	-1	-1	0	0	0	0	1	0	11.3885749324756
chr12	54782505	54783045	chr12	54718873	54718873	COPZ1	K562	TRUE	NA	Fulco2019	FlowFISH Screen	KRAB-dCas9	-0.01253002	0.8791794545649999	FALSE	FALSE	1	63902	0	0	0.001611	-1	-1	1	1	-1	1	27.32	-1	-1	0	0	0	0	1	0	11.3885749324756
chr12	54782505	54783045	chr12	54813050	54813050	ITGA5	K562	TRUE	NA	Fulco2019	FlowFISH Screen	KRAB-dCas9	0.030684795	0.991842183927	FALSE	FALSE	1	30275	0	0	0.004448	0.395664869901363	-0.0281346683716169	0.000128553672281655	0.803350742907463	-1	1	28.24	-1	-1	0	0	0	0	1	0	0
chr12	54783945	54784825	chr12	54674473	54674473	HNRNPA1	K562	FALSE	PromoterElement	Fulco2019	FlowFISH Screen	KRAB-dCas9	-0.00607029	0.967613756798	FALSE	FALSE	0.999999338528	109912	0	0	0.004753	-1	-1	1	1	-1	1	0	-1	-1	0	0	1.770155	0	1	0	6.62291479106601
chr12	54783945	54784825	chr12	54694821	54694821	NFE2	K562	FALSE	PromoterElement	Fulco2019	FlowFISH Screen	KRAB-dCas9	0.00288542	0.998265820297	FALSE	FALSE	0.999998396808	89564	0	0	0.004484	0.541664525499631	0.528095182460324	1.52928076321858e-07	3.01488139479138e-05	0.7177279	1	0	-1	-1	0	0	0.955771	0	1	0	11.3885749324756
chr12	54783945	54784825	chr12	54718873	54718873	COPZ1	K562	FALSE	PromoterElement	Fulco2019	FlowFISH Screen	KRAB-dCas9	-0.00836548	0.9161563406540001	FALSE	FALSE	1	65512	0	0	0.00549	0.43764886559984	-0.0679737380169115	2.26032578453164e-05	0.571607772326408	-1	1	27.32	-1	-1	0	0	0.955771	0	1	0	11.3885749324756
chr12	54783945	54784825	chr12	54813050	54813050	ITGA5	K562	FALSE	PromoterElement	Fulco2019	FlowFISH Screen	KRAB-dCas9	2.1541e-05	0.991842183927	FALSE	FALSE	1	28665	0	0	0.015154	0.590688868243884	0.0421927067415117	0.000484959950790851	0.756557675592328	-1	1	28.24	-1	-1	0	0	2.866988	0	1	0	0
chr12	54784839	54785445	chr12	54674473	54674473	HNRNPA1	K562	FALSE	PromoterElement	Fulco2019	FlowFISH Screen	KRAB-dCas9	-0.00309342	0.967613756798	FALSE	FALSE	0.99999999972	110669	0	0	0.001312	-1	-1	1	1	-1	1	0	-1	-1	0	0	1.770155	0	1	0	6.62291479106601
chr12	54784839	54785445	chr12	54694821	54694821	NFE2	K562	FALSE	PromoterElement	Fulco2019	FlowFISH Screen	KRAB-dCas9	0.03417845	0.859766075508	FALSE	FALSE	0.999999990637	90321	0	0	0.001352	-1	-1	1	1	-1	1	0	-1	-1	0	0	0.955771	0	1	0	11.3885749324756
chr12	54784839	54785445	chr12	54718873	54718873	COPZ1	K562	FALSE	PromoterElement	Fulco2019	FlowFISH Screen	KRAB-dCas9	-0.02678831	0.6864573986720001	FALSE	FALSE	1	66269	0	0	0.001493	-1	-1	1	1	-1	1	27.32	-1	-1	0	0	0.955771	0	1	0	11.3885749324756
chr12	54784839	54785445	chr12	54813050	54813050	ITGA5	K562	FALSE	PromoterElement	Fulco2019	FlowFISH Screen	KRAB-dCas9	0.00817795	0.991842183927	FALSE	FALSE	1	27908	0	0	0.006567	0.360672718427263	-0.306437184292339	0.000484959950790851	0.0138480767216172	-0.45469	0.007	28.24	-1	-1	0	0	2.866988	0	1	0	0
chr12	54787465	54788485	chr12	54674473	54674473	HNRNPA1	K562	TRUE	NA	Fulco2019	FlowFISH Screen	KRAB-dCas9	-0.03837112	0.81973110245	FALSE	FALSE	0.999999999362	113502	0	0	0.001876	-1	-1	1	1	-1	1	16.06	-1	-1	0	0	0	0	1	0	0
chr12	54787465	54788485	chr12	54694821	54694821	NFE2	K562	TRUE	NA	Fulco2019	FlowFISH Screen	KRAB-dCas9	0.04604893	0.7366905867229999	FALSE	FALSE	0.999999983298	93154	0	0	0.001933	-1	-1	1	1	0.6179467	0.999	0	-1	-1	0	0	0	0	1	0	0
chr12	54787465	54788485	chr12	54718873	54718873	COPZ1	K562	TRUE	NA	Fulco2019	FlowFISH Screen	KRAB-dCas9	-0.01542169	0.849777965302	FALSE	FALSE	1	69102	0	0	0.002135	-1	-1	1	1	-0.2852706	0.02	15.82	-1	-1	0	0	0	0	1	0	0
chr12	54793025	54793545	chr12	54674473	54674473	HNRNPA1	K562	TRUE	NA	Fulco2019	FlowFISH Screen	KRAB-dCas9	-0.03267281	0.933192253987	FALSE	FALSE	0.999996316788	118812	0	0	0.000444	-1	-1	1	1	-1	1	0	-1	-1	0	0	1.454998	0	1	0	0
chr12	54793025	54793545	chr12	54694821	54694821	NFE2	K562	TRUE	NA	Fulco2019	FlowFISH Screen	KRAB-dCas9	0.04088806	0.866203130695	FALSE	FALSE	0.999964016623	98464	0	0	0.000538	-1	-1	1	1	-1	1	0	-1	-1	0	0	0.858261	0	1	0	0
chr12	54793025	54793545	chr12	54718873	54718873	COPZ1	K562	TRUE	NA	Fulco2019	FlowFISH Screen	KRAB-dCas9	0.00514002	0.974465417009	FALSE	FALSE	1	74412	0	0	0.000534	-1	-1	1	1	-1	1	10.91	-1	-1	0	0	0.858261	0	1	0	0
chr12	54798085	54798625	chr12	54674473	54674473	HNRNPA1	K562	TRUE	NA	Fulco2019	FlowFISH Screen	KRAB-dCas9	0.02890617	0.9466181140119999	FALSE	FALSE	0.999998944007	123882	0	0	0.000361	-1	-1	1	1	-1	1	0	-1	-1	0	0	0	0	1	0	0
chr12	54798085	54798625	chr12	54694821	54694821	NFE2	K562	TRUE	NA	Fulco2019	FlowFISH Screen	KRAB-dCas9	0.00117008	0.998265820297	FALSE	FALSE	0.999998827616	103534	0	0	0.000497	-1	-1	1	1	-1	1	0	-1	-1	0	0	0	0	1	0	0
chr12	54798085	54798625	chr12	54718873	54718873	COPZ1	K562	TRUE	NA	Fulco2019	FlowFISH Screen	KRAB-dCas9	-0.00077561	0.985234979339	FALSE	FALSE	1	79482	0	0	0.000551	-1	-1	1	1	-1	1	0	-1	-1	0	0	0	0	1	0	0
